=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2026.03.28 11:20:18 =~=~=~=~=~=~=~=~=~=~=~=
Initializing MAX30100 for raw data..SUCCESS
Initializing PulseOximeter..SUCCESS

==========================================
Press 's' to start 2-minute data collection
Minute 1: RAW IR/Red data (0.1s intervals)
Minute 2: Processed BPM/SpO2 data (0.1s intervals)
==========================================

==========================================
=== 2-MINUTE DATA COLLECTION STARTED ===
PHASE 1 (0-600 tenths of seconds): RAW IR/Red data
Format: RAW,Time_0.1s,IR_raw,Red_raw,GSR_V,GSR_raw
------------------------------------------
RAW,0.0,11780,11643,3.069,628
RAW,0.0,11787,11639,3.309,677
RAW,0.0,11782,11642,3.250,665
RAW,0.0,11779,11654,3.079,630
RAW,0.0,11780,11650,3.099,634
RAW,0.0,11768,11650,3.152,645
RAW,0.0,11778,11649,3.284,672
RAW,0.0,11768,11651,3.079,630
RAW,0.0,11746,11641,3.079,630
RAW,0.0,11752,11646,3.084,631
RAW,0.0,11734,11644,3.113,637
RAW,0.0,11728,11640,3.084,631
RAW,0.0,11721,11636,3.309,677
RAW,0.0,11716,11631,3.118,638
RAW,0.0,11703,11630,3.104,635
RAW,0.0,11687,11627,3.074,629
RAW,0.4,11796,11650,3.089,632
RAW,0.4,11791,11646,3.260,667
RAW,0.4,11784,11647,3.074,629
RAW,0.4,11773,11649,3.094,633
RAW,0.4,11785,11648,3.348,685
RAW,0.4,11778,11643,3.289,673
RAW,0.6,11793,11649,3.079,630
RAW,0.6,11788,11650,3.079,630
RAW,0.8,11792,11646,3.089,632
RAW,0.9,11796,11646,3.074,629
RAW,1.1,11803,11652,3.074,629
RAW,1.3,11801,11657,3.069,628
RAW,1.5,11818,11663,3.069,628
RAW,1.7,11826,11665,3.069,628
RAW,1.9,11827,11670,3.069,628
RAW,2.1,11836,11671,3.065,627
RAW,2.3,11846,11677,3.069,628
RAW,2.6,11852,11681,3.079,630
RAW,2.8,11858,11675,3.079,630
RAW,3.1,11862,11682,3.065,627
RAW,3.3,11871,11688,3.065,627
RAW,3.6,11861,11676,3.079,630
RAW,3.8,11866,11686,3.079,630
RAW,4.1,11873,11692,3.065,627
RAW,4.4,11886,11689,3.084,631
RAW,4.6,11880,11680,3.079,630
RAW,4.9,11839,11652,3.069,628
RAW,5.1,11739,11597,3.065,627
RAW,5.4,11577,11528,3.084,631
RAW,5.7,11526,11495,3.065,627
RAW,5.9,11529,11500,3.069,628
RAW,6.2,11587,11525,3.084,631
RAW,6.4,11619,11538,3.089,632
RAW,6.7,11688,11565,3.069,628
RAW,6.9,11710,11573,3.074,629
RAW,7.2,11737,11577,3.089,632
RAW,7.4,11755,11584,3.089,632
RAW,7.7,11756,11572,3.069,628
RAW,7.9,11751,11567,3.069,628
RAW,8.2,11749,11564,3.084,631
