=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2026.03.31 10:24:36 =~=~=~=~=~=~=~=~=~=~=~=
Initializing MAX30100 for raw data..SUCCESS
Initializing PulseOximeter..SUCCESS

==========================================
Press 's' to start 2-minute data collection
Minute 1: RAW IR/Red data (0.1s intervals)
Minute 2: Processed BPM/SpO2 data (0.1s intervals)
==========================================

==========================================
=== 2-MINUTE DATA COLLECTION STARTED ===
PHASE 1 (0-600 tenths of seconds): RAW IR/Red data
Format: RAW,Time_0.1s,IR_raw,Red_raw,GSR_V,GSR_raw
------------------------------------------
RAW,0.0,8269,20776,2.243,459
RAW,0.0,8272,20776,2.361,483
RAW,0.0,8273,20772,2.419,495
RAW,0.0,8263,20771,2.253,461
RAW,0.0,8261,20768,2.248,460
RAW,0.0,8261,20764,2.366,484
RAW,0.0,8267,20757,2.478,507
RAW,0.0,8260,20753,2.258,462
RAW,0.0,8264,20758,2.253,461
RAW,0.0,8263,20773,2.375,486
RAW,0.0,8265,20768,2.502,512
RAW,0.0,8269,20758,2.263,463
RAW,0.0,8271,20765,2.253,461
RAW,0.0,8263,20769,2.375,486
RAW,0.0,8267,23889,2.512,514
RAW,0.0,8267,23884,2.263,463
RAW,0.4,8243,20733,2.370,485
RAW,0.4,8254,20751,2.268,464
RAW,0.4,8262,20763,2.522,516
RAW,0.4,8275,20775,2.263,463
RAW,0.4,8279,20789,2.258,462
RAW,0.4,8272,20794,2.278,466
RAW,0.6,8229,20734,2.268,464
RAW,0.6,8223,20724,2.258,462
RAW,0.8,8220,20723,2.253,461
RAW,1.0,8214,20714,2.243,459
RAW,1.2,8217,20720,2.243,459
RAW,1.5,8218,20727,2.229,456
RAW,1.7,8221,20720,2.229,456
RAW,1.9,8223,20725,2.224,455
RAW,2.2,8223,20730,2.224,455
RAW,2.4,8230,20733,2.214,453
RAW,2.6,8229,20745,2.214,453
RAW,2.8,8228,20748,2.209,452
RAW,3.0,8239,17122,2.209,452
RAW,3.2,8241,17177,2.204,451
RAW,3.5,8243,17170,2.209,452
RAW,3.7,8233,17175,2.204,451
RAW,3.9,8236,17176,2.204,451
RAW,4.2,8234,17174,2.199,450
RAW,4.4,8235,17171,2.199,450
RAW,4.6,8246,17177,2.199,450
RAW,4.9,8246,17182,2.195,449
RAW,5.1,8242,17190,2.195,449
RAW,5.3,8253,17184,2.195,449
RAW,5.5,8253,17192,2.195,449
RAW,5.8,8259,17191,2.190,448
RAW,6.0,8262,17191,2.185,447
RAW,6.2,8269,17204,2.190,448
RAW,6.5,8271,17210,2.185,447
RAW,6.7,8265,17219,2.185,447
RAW,6.9,8271,17214,2.185,447
RAW,7.2,8268,17225,2.180,446
RAW,7.4,8265,17231,2.180,446
RAW,7.6,8275,17221,2.180,446
RAW,7.8,8267,17223,2.180,446
RAW,8.0,8269,14043,2.180,446
RAW,8.2,8259,14025,2.175,445
RAW,8.4,8241,14019,2.175,445
RAW,8.7,8221,14002,2.175,445
RAW,8.9,8211,13991,2.175,445
RAW,9.1,8211,13991,2.175,445
RAW,9.3,8213,13987,2.175,445
RAW,9.5,8216,13992,2.170,444
RAW,9.7,8222,13993,2.170,444
RAW,10.0,8218,13995,2.170,444
RAW,10.1,8224,13999,2.170,444
RAW,10.3,8223,14002,2.170,444
RAW,10.5,8233,14010,2.170,444
RAW,10.7,8233,14013,2.170,444
RAW,10.9,8227,14016,2.165,443
RAW,11.0,8236,14020,2.165,443
RAW,11.2,8232,14008,2.165,443
RAW,11.4,8234,14015,2.160,442
RAW,11.6,8230,14017,2.160,442
RAW,11.8,8228,14018,2.160,442
RAW,12.0,8235,14014,2.160,442
RAW,12.1,8221,14022,2.160,442
RAW,12.3,8233,14012,2.155,441
RAW,12.5,8230,14012,2.155,441
RAW,12.7,8229,14008,2.155,441
RAW,12.9,8235,14007,2.151,440
RAW,13.0,8233,10294,2.155,441
RAW,13.2,8235,10302,2.151,440
RAW,13.4,8241,10299,2.151,440
RAW,13.5,8245,10299,2.151,440
RAW,13.7,8251,10307,2.151,440
RAW,13.9,8249,10304,2.146,439
RAW,14.1,8254,10300,2.146,439
RAW,14.3,8249,10306,2.146,439
RAW,14.5,8254,10309,2.146,439
RAW,14.6,8256,10312,2.141,438
RAW,14.8,8262,10305,2.146,439
RAW,15.0,8254,10311,2.141,438
RAW,15.2,8257,10313,2.141,438
RAW,15.4,8253,10314,2.136,437
RAW,15.5,8264,10311,2.136,437
RAW,15.7,8268,10312,2.136,437
RAW,15.9,8260,10314,2.136,437
RAW,16.1,8247,10300,2.131,436
RAW,16.3,8236,10289,2.131,436
RAW,16.5,8220,10290,2.126,435
RAW,16.6,8215,10286,2.136,437
RAW,16.8,8220,10286,2.126,435
RAW,17.0,8213,10282,2.126,435
RAW,17.2,8227,10283,2.121,434
RAW,17.4,8224,10293,2.126,435
RAW,17.6,8227,10290,2.121,434
RAW,17.7,8232,10289,2.121,434
RAW,17.9,8232,10298,2.121,434
RAW,18.0,8238,8192,2.126,435
RAW,18.2,8239,7092,2.121,434
RAW,18.5,8246,7102,2.121,434
RAW,18.7,8248,7101,2.116,433
RAW,18.9,8244,7106,2.116,433
RAW,19.1,8246,7105,2.116,433
RAW,19.3,8247,7102,2.116,433
RAW,19.5,8248,7105,2.111,432
RAW,19.8,8243,7107,2.111,432
RAW,20.0,8245,7107,2.107,431
RAW,20.2,8252,7106,2.111,432
RAW,20.4,8259,7108,2.107,431
RAW,20.6,8263,7109,2.107,431
RAW,20.8,8265,7111,2.107,431
RAW,21.0,8269,7113,2.107,431
RAW,21.3,8277,7112,2.102,430
RAW,21.5,8270,7115,2.102,430
RAW,21.7,8263,7118,2.102,430
RAW,21.9,8272,7116,2.102,430
RAW,22.1,8276,7109,2.102,430
RAW,22.3,8280,7112,2.097,429
RAW,22.5,8281,7109,2.102,430
RAW,22.8,8280,7117,2.097,429
RAW,23.0,8289,7119,2.097,429
RAW,23.2,8289,7117,2.097,429
RAW,23.4,8287,7118,2.097,429
RAW,23.6,8279,7114,2.097,429
RAW,23.8,8264,7104,2.092,428
RAW,24.0,8247,7099,2.097,429
RAW,24.3,8229,7096,2.092,428
RAW,24.5,8233,7091,2.092,428
RAW,24.7,8230,7095,2.092,428
RAW,24.9,8229,7097,2.092,428
RAW,25.1,8224,7098,2.092,428
RAW,25.4,8228,7097,2.092,428
RAW,25.6,8232,7100,2.092,428
RAW,25.8,8230,7098,2.092,428
RAW,26.0,8248,7102,2.092,428
RAW,26.3,8237,7103,2.092,428
RAW,26.5,8245,7100,2.092,428
RAW,26.7,8239,7102,2.092,428
RAW,27.0,8232,7093,2.092,428
RAW,27.2,8239,7098,2.092,428
RAW,27.4,8238,7091,2.092,428
RAW,27.6,8236,7097,2.097,429
RAW,27.9,8238,7095,2.092,428
RAW,28.1,8237,7097,2.097,429
RAW,28.3,8233,7096,2.097,429
RAW,28.5,8238,7093,2.097,429
RAW,28.8,8238,7100,2.097,429
RAW,29.0,8238,7090,2.097,429
RAW,29.2,8238,7090,2.097,429
RAW,29.5,8239,7090,2.097,429
RAW,29.7,8240,7097,2.097,429
RAW,29.9,8244,7093,2.097,429
RAW,30.1,8245,7087,2.097,429
RAW,30.4,8249,7091,2.097,429
RAW,30.6,8245,7092,2.097,429
RAW,30.8,8236,7087,2.102,430
RAW,31.0,8216,7073,2.097,429
RAW,31.3,8208,7065,2.102,430
RAW,31.5,8202,7070,2.102,430
RAW,31.7,8191,7067,2.102,430
RAW,32.0,8193,7064,2.097,429
RAW,32.2,8200,7065,2.102,430
RAW,32.4,8199,7066,2.102,430
RAW,32.6,8207,7067,2.107,431
RAW,32.9,8209,7069,2.107,431
RAW,33.1,8207,7075,2.107,431
RAW,33.3,8218,7077,2.107,431
RAW,33.5,8216,7077,2.107,431
RAW,33.7,8219,7075,2.107,431
RAW,33.9,8225,7077,2.111,432
RAW,34.1,8215,7076,2.111,432
RAW,34.4,8225,7076,2.111,432
RAW,34.6,8221,7082,2.111,432
RAW,34.8,8232,7079,2.111,432
RAW,34.9,8231,7081,2.111,432
RAW,35.1,8229,7083,2.111,432
RAW,35.3,8239,7084,2.111,432
RAW,35.4,8235,7085,2.116,433
RAW,35.6,8241,7085,2.116,433
RAW,35.9,8246,7094,2.116,433
RAW,36.1,8256,7089,2.116,433
RAW,36.3,8260,7093,2.116,433
RAW,36.4,8261,7091,2.116,433
RAW,36.6,8258,7092,2.121,434
RAW,36.9,8262,7095,2.116,433
